symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_latest_title,flow_top_brokers,flow_event_mix,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,active_source_count,card_score
000660,SK하이닉스,IT하드웨어 (반도체),0.5856000000000001,0.5,0.8800000000000001,0.3999999999999999,0.5,0.4000000000000001,2.5737,1.1737,2.0,2.0,0.0,0.7979,0.0,0.0,0.0,0.0,0.0,0.6522,0.0,HBM 전선 이상 무,,,0,,,,,,,0.8,0.38095238095238093,,,,,2,0.6277891156462585
005930,삼성전자,IT하드웨어 (반도체),0.5576000000000001,0.5,0.68,0.6,0.5,0.4000000000000001,3.3363,1.2363,3.0,3.0,0.0,0.7944,8.6649,0.0,0.0,0.0,0.0,0.7464,0.3333,진정한 풀스택,,,0,,,,,,,0.6,0.4880952380952381,,,,,2,0.5510289115646259
005380,현대차,자동차/완성차,0.5032,0.5,0.36,0.4666666666666666,0.5,0.4000000000000001,3.4763,2.5763,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,0.0,0.7945,0.5,현대차(005380) 팰리세이드 리콜 관련 업데이트,,,0,,,,,,,0.4,0.5119047619047619,,,,,2,0.44897108843537425
373220,LG에너지솔루션,2차전지/배터리,0.4794666666666667,0.5,0.24,0.6666666666666666,0.5,0.8666666666666667,2.8252,2.1252,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5873,0.0,26년 ESS 추정치 추가 상향 조정,,,0,,,,,,,0.2,0.44047619047619047,,,,,2,0.3180017006802721
402340,SK스퀘어,복합기업,0.6141333333333332,0.5,0.8399999999999999,0.5333333333333333,0.5,0.9333333333333332,,,,,,,,,,,,,,,,,0,,,,,,,1.0,,,,,,1,0.8875
036800,나이스정보통신,상업서비스와공급품,,,,,,,8.512,7.812,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"나이스정보통신(036800) Valuation 저평가, TRS 성장성",,,0,,,,,,,,1.0,,,,,1,0.8875
083500,에프엔에스테크,디스플레이장비및부품,,,,,,,7.9389,7.0389,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,0.0,0.7956,0.5,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,,,0,,,,,,,,0.9880952380952381,,,,,1,0.8773809523809524
081660,미스토홀딩스,의류/섬유,,,,,,,7.5079,6.6079,2.0,1.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.8224,0.5,"미스토홀딩스(081660) 4Q25 Review : 턴어라운드 본격화 전망되나, K패션은 기다림이 필요",,,0,,,,,,,,0.9761904761904762,,,,,1,0.8672619047619047
086450,동국제약,제약,,,,,,,7.252,6.552,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"동국제약(086450) 성장성: 화장품, 모멘텀: DDS",,,0,,,,,,,,0.9642857142857143,,,,,1,0.8571428571428571
010950,S-Oil,화학/석유화학,,,,,,,7.2158,5.8158,2.0,2.0,0.0,0.7982,0.0,0.0,0.0,0.0,0.0,0.7942,0.5,"호르무즈 봉쇄, 오히려 전화위복!",,,0,,,,,,,,0.9523809523809523,,,,,1,0.8470238095238094
