symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
005930,삼성전자,IT하드웨어 (반도체),0.5792666666666667,0.5,0.68,0.6,0.5,0.6166666666666667,9.5544,0.8181,3.0,3.0,0.0,0.7945,7.0566,0.0,3.4968,0.0,-0.0087,0.7505,0.3333,33.9492,4.8766,0.7512,0.7671,진정한 풀스택,0.6649,2.0,1.0,0.0505,0.0,1.0,,,0.0,0.0,0.0,,,,4.0,1.2,0.8400000000000001,0.043549121552540065,0.8384615384615385,0.8153846153846155,ridge_fewshot,8,,,,,,,,,0,,,,,,,0.8,0.6666666666666666,,,,,,0.9923076923076923,0.8384615384615385,,4,0.7522415865384614
000660,SK하이닉스,IT하드웨어 (반도체),0.5939333333333334,0.5,0.8800000000000001,0.3999999999999999,0.5,0.4833333333333334,7.6225,0.8716,2.0,2.0,0.0,0.7979,3.3881,0.0,0.0,0.0,0.0,0.6522,0.0,40.9048,3.01,0.6699,0.6948,HBM 전선 이상 무,0.5,1.0,1.0,0.2704,3.4968,1.0,,,0.0,0.0,0.0,,,,4.0,1.2,0.8365384615384616,0.031616865614218975,0.676923076923077,0.8153846153846155,ridge_fewshot,8,,,,,,,,,0,,,,,,,1.0,0.4367816091954023,,,,,,0.9846153846153847,0.676923076923077,,4,0.7370262765251989
005380,현대차,자동차/완성차,0.5331999999999999,0.5,0.36,0.4666666666666666,0.5,0.7000000000000001,6.9332,1.9335,2.0,1.0,0.0,0.7725,2.1739,0.0,0.0,0.0,-0.0095,0.7945,0.5,-2.0772,0.0,1.0,0.6948,현대차(005380) 팰리세이드 리콜 관련 업데이트,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,1.2,0.6411538461538462,0.02168176065985941,0.5461538461538461,0.4615384615384615,ridge_fewshot,8,,,,,,,,,0,,,,,,,0.4,0.3793103448275862,,,,,,0.8076923076923077,0.5461538461538461,,4,0.48207911969496015
373220,LG에너지솔루션,2차전지/배터리,0.4594666666666667,0.5,0.24,0.6666666666666666,0.5,0.6666666666666666,8.176,1.6162,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0225,0.5873,0.0,21.7799,0.0,1.0,0.806,26년 ESS 추정치 추가 상향 조정,1.0,1.0,1.0,0.279,0.0,1.0,,,0.0,0.0,0.0,,,,0.0,1.2,0.6273076923076923,0.037717161948899666,0.7384615384615385,0.6410256410256411,ridge_fewshot,8,,,,,,,,,0,,,,,,,0.2,0.5172413793103449,,,,,,0.7769230769230769,0.7384615384615385,,4,0.4756181614721485
019180,티에이치엔,자동차부품,,,,,,,5.2404,0.156,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2185,0.5785,0.0,0.0,0.0,1.0,0.7671,P/E가 3배도 안 되네요,1.0,1.0,1.0,-0.0106,0.0,1.0,0.0,0.0,2.0,0.0,0.0,LARGE_HOLDER,neutral,3.35,0.0,1.2,0.4784615384615385,0.011449406343471693,0.14615384615384616,0.23230769230769227,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.1724137931034483,,,,,,0.46153846153846156,0.14615384615384616,0.5232558139534884,4,0.3220845696862423
234340,헥토파이낸셜,IT서비스,,,,,,,12.8013,5.2497,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0952,0.832,0.0,82.1494,0.0,1.0,0.9826,4Q25 Review: 연간 최대 매출액 및 영업이익 ..,1.0,1.0,1.0,0.1325,-1.185,2.0,,,0.0,0.0,0.0,,,,0.0,1.2,0.7138461538461539,0.05565251453354731,0.9692307692307692,0.5512820512820512,ridge_fewshot,8,,,,,,,,,0,,,,,,,,1.0,,,,,,0.9615384615384616,0.9692307692307692,,3,0.8906582840236685
036800,나이스정보통신,상업서비스와공급품,,,,,,,12.7139,6.0132,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0789,1.0,1.0,32.0755,0.0,1.0,0.847,"나이스정보통신(036800) Valuation 저평가, TRS 성장성",1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,1.2,0.7207692307692308,0.050050933645145665,0.9153846153846154,0.9153846153846154,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9885057471264368,,,,,,0.9769230769230769,0.9153846153846154,,3,0.8750839114466435
083500,에프엔에스테크,디스플레이장비및부품,,,,,,,12.5119,5.3732,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,0.0274,0.7956,0.5,80.072,0.0,1.0,0.7301,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,1.2,0.7173076923076924,0.05018857766369554,0.9230769230769231,0.65,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9770114942528736,,,,,,0.9692307692307692,0.9230769230769231,,3,0.8710775862068966
393890,더블유씨피,전기제품,,,,,,,12.0797,4.44,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0229,0.589,0.0,120.2202,0.0,1.0,0.806,"실적, 밸류에이션 정상화 초입 구간",1.0,1.0,1.0,0.353,0.0,2.0,,,0.0,0.0,0.0,,,,0.0,1.2,0.7034615384615386,0.06054383438658031,0.9923076923076923,0.9,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9425287356321839,,,,,,0.9384615384615385,0.9923076923076923,,3,0.8696207406651704
036570,엔씨소프트,엔터테인먼트/게임,,,,,,,12.2313,3.7818,3.0,2.0,0.0,0.784,0.0,0.0,0.0,0.0,-0.0517,0.7493,0.3333,65.9452,8.6083,0.9139,0.847,엔씨소프트(036570) 실적은 센티를 이긴다,1.0,2.0,1.0,0.2381,0.0,4.0,,,0.0,0.0,0.0,,,,0.0,1.2,0.6653846153846155,0.05752890585768347,0.9846153846153847,0.8507692307692307,ridge_fewshot,8,,,,,,,,,0,,,,,,,,0.9655172413793104,,,,,,0.8615384615384616,0.9846153846153847,,3,0.8615387165884514
